                                                  NORTHERN ILLINOIS NATIONAL BANK                                         PAGE:    1
                                                EMPLOYEE SEMI-MONTHLY PAYROLL REPORT                                                

EMPLOYEE   EMPLOYEE                     HOURLY     HOURS            EMPLOYEE    EMPLOYEE FEDERAL    EMPLOYEE STATE          EMPLOYEE
ID         NAME                            PAY    WORKED           GROSS PAY         WITHHOLDING       WITHHOLDING           NET PAY
--------   -------------------------   -------   -------     ---------------     ---------------   ---------------   ---------------

52-3-45245  JOAN TOWER                  $15.25     80.50           $1,722.75             $262.72            $54.96         $1,405.07

03-4-56322  WOLFGANG AMADEUS MOZART     $19.00     80.75           $1,547.69             $236.02            $49.37         $1,262.30

34-0-32233  RICHARD STRAUSS             $10.29     80.00           $1,045.97             $159.51            $33.37           $853.09

16-4-65120  AMY BEACH                   $22.00     77.00           $2,579.16             $393.32            $82.28         $2,103.56

76-5-60023  ETHEL SMYTH                 $23.75     28.25             $710.64             $108.37            $22.67           $579.60

23-8-70322  PETER ILYICH TCHAIKOVSKY    $22.95     80.50           $1,826.23             $278.50            $58.26         $1,489.47

04-9-66277  ANTON BRUCKNER              $23.20     78.67           $2,044.58             $311.80            $65.22         $1,667.56

02-3-45245  FLORENCE PRICE              $15.25     80.50           $1,802.75             $274.92            $57.51         $1,470.32

13-4-56322  CLAUDE DEBUSSY              $19.00     80.77           $1,546.85             $235.89            $49.34         $1,261.62

34-0-32233  JUDITH WEIR                 $10.29     80.00           $1,045.97             $159.51            $33.37           $853.09

16-4-65120  LUDWIG VAN BEETHOVEN        $22.00     80.00           $2,645.16             $403.39            $84.38         $2,157.39

06-5-60023  JOHANN SEBASTIAN BACH       $23.75     28.25             $707.64             $107.92            $22.57           $577.15

23-8-70322  AARON COPLAND               $22.95     80.50           $1,826.23             $278.50            $58.26         $1,489.47

94-9-66277  CHARLES IVES                $20.20     78.67           $1,798.57             $274.28            $57.37         $1,466.92

02-3-45245  SHULAMIT RAN                $15.25     80.50           $1,702.75             $259.67            $54.32         $1,388.76

13-4-56322  ARTHUR HONEGGER             $19.00     80.75           $1,547.69             $236.02            $49.37         $1,262.30

34-0-32233  NADIA BOULANGER             $10.29     80.00           $1,046.97             $159.66            $33.40           $853.91

                                                  NORTHERN ILLINOIS NATIONAL BANK                                         PAGE:    2
                                                EMPLOYEE SEMI-MONTHLY PAYROLL REPORT                                                

